"Shoes","Minus harum perspiciatis autem tenetur sapiente pariatur est modi. Facilis iusto aut iusto pariatur. Illo odit quos.","9"
"Kids","Omnis quam quae. Et nemo dolore consequatur nulla. Et quas blanditiis eveniet nulla quos.","7"
"Grocery","Nostrum ratione quam numquam animi. Alias eaque est distinctio perferendis beatae quam consequuntur. Blanditiis cupiditate eligendi suscipit eaque necessitatibus commodi debitis reprehenderit sequi.","9"
"Automotive","Delectus hic odit soluta nihil. Consequuntur aliquid doloremque nesciunt facere dolores dolor in. Qui impedit nisi maxime quisquam magnam doloribus et.","3"
"Clothing","Cum consequatur aperiam maiores. Id adipisci voluptatibus ducimus sint nihil tempore amet. Adipisci illum magni facilis officiis inventore placeat recusandae cupiditate.","3"
"Clothing","Amet sint quos neque in eligendi eveniet at deleniti aut. Quis mollitia quis. Nisi esse veniam ipsa.","10"
"Industrial","Harum et voluptates officiis modi. Necessitatibus dicta quia tempore quibusdam dolores. Voluptates deleniti aspernatur perferendis ex adipisci nostrum vitae quos consequatur.","3"
"Music","Tempora nemo placeat adipisci quae optio soluta nobis inventore. Pariatur doloribus blanditiis consequatur ab. Cum eveniet tempore necessitatibus accusantium officia deleniti sequi ratione.","10"
"Kids","Maiores nobis blanditiis fuga necessitatibus. Perspiciatis quos unde pariatur placeat. Accusantium assumenda expedita similique ratione soluta quibusdam veritatis sequi consequuntur.","7"
"Games","Accusantium accusantium aspernatur in praesentium vero laborum. Cupiditate ratione exercitationem explicabo voluptatem adipisci soluta sit. Expedita tenetur delectus quo voluptatibus repellendus molestiae esse porro quasi.","9"
